,Russian,English
,и,and
,в,in
,не,not
,он,is he
,на,on
,я,I
,что,what
,тот,the
,быть,be
,с,from
,а,and
,весь,all
,это,this is
,как,as
,она,she
,по,by
,но,but
,они,they
,к,to
,у,at
,ты,you
,из,of
,мы,we
,за,per
,вы,you
,так,So
,же,the same
,от,from
,сказать,to tell
,этот,this
,который,which the
,мочь,be able to
,мочь,be able to
,о,about
,один,one
,еще,still
,бы,would
,такой,such
,только,only
,себя,himself
,свое,his
,какой,which
,когда,when
,уже,already
,для,for
,вот,here
,кто,Who
,да,Yes
,говорить,speak
,год,year
,знать,know
,мой,my
,до,before
,или,or
,если,if a
,время,time
,рука,hand
,нет,not
,самый,most
,ни,or
,стать,become
,большой,large
,даже,even
,другой,other
,наш,our
,свой,his
,ну,Well
,под,under
,где,Where
,дело,business
,есть,there is
,сам,himself
,раз,time
,чтобы,that
,два,two
,там,there
,чем,than
,глаз,eye
,жизнь,a life
,первый,first
,день,day
,тут,here
,во,in
,ничто,nothing
,потом,later
,очень,highly
,со,with
,хотеть,to want
,ли,whether
,при,at
,голова,head
,надо,must
,без,without
,видеть,see
,идти,go
,теперь,Now
,тоже,also
,стоять,stand
,друг,friend
,дом,house
